<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVSP,D,20000717,000000,16890.00,17395.00,16890.00,17388.00,000,0
^BVSP,D,20000718,000000,17379.00,17566.00,17281.00,17369.00,000,0
^BVSP,D,20000719,000000,17354.00,17358.00,16868.00,16928.00,000,0
^BVSP,D,20000720,000000,16951.00,17353.00,16951.00,17204.00,000,0
^BVSP,D,20000721,000000,17207.00,17365.00,17071.00,17318.00,000,0
^BVSP,D,20000724,000000,17314.00,17588.00,17314.00,17386.00,000,0
^BVSP,D,20000725,000000,17390.00,17530.00,17046.00,17049.00,000,0
^BVSP,D,20000726,000000,17049.00,17211.00,16840.00,17121.00,000,0
^BVSP,D,20000727,000000,17121.00,17225.00,16923.00,16949.00,000,0
^BVSP,D,20000728,000000,16949.00,17039.00,16448.00,16486.00,000,0
^BVSP,D,20000731,000000,16487.00,16713.00,16455.00,16455.00,000,0
^BVSP,D,20000801,000000,16475.00,16591.00,16127.00,16290.00,000,0
^BVSP,D,20000802,000000,16284.00,16535.00,16121.00,16314.00,000,0
^BVSP,D,20000803,000000,16248.00,16761.00,16073.00,16721.00,000,0
^BVSP,D,20000804,000000,16727.00,16907.00,16716.00,16761.00,000,0
^BVSP,D,20000807,000000,16772.00,17014.00,16769.00,16996.00,000,0
^BVSP,D,20000808,000000,17005.00,17062.00,16858.00,16885.00,000,0
^BVSP,D,20000809,000000,16894.00,16977.00,16511.00,16534.00,000,0
^BVSP,D,20000810,000000,16519.00,17023.00,16501.00,16835.00,000,0
^BVSP,D,20000811,000000,16846.00,17395.00,16705.00,17395.00,000,0
^BVSP,D,20000814,000000,17402.00,17926.00,17334.00,17811.00,000,0
^BVSP,D,20000815,000000,17811.00,17910.00,17690.00,17744.00,000,0
^BVSP,D,20000816,000000,17741.00,17771.00,17275.00,17331.00,000,0
^BVSP,D,20000817,000000,17326.00,17858.00,17321.00,17703.00,000,0
^BVSP,D,20000818,000000,17703.00,17780.00,17258.00,17314.00,000,0
^BVSP,D,20000821,000000,17317.00,17420.00,17066.00,17083.00,000,0
^BVSP,D,20000822,000000,17086.00,17428.00,17086.00,17224.00,000,0
^BVSP,D,20000823,000000,17253.00,17455.00,17137.00,17450.00,000,0
^BVSP,D,20000824,000000,17454.00,17454.00,17187.00,17311.00,000,0
^BVSP,D,20000825,000000,17316.00,17668.00,17316.00,17643.00,000,0
^BVSP,D,20000828,000000,17657.00,17686.00,17380.00,17460.00,000,0
^BVSP,D,20000829,000000,17454.00,17490.00,17235.00,17355.00,000,0
^BVSP,D,20000830,000000,17359.00,17563.00,17309.00,17414.00,000,0
^BVSP,D,20000831,000000,17417.00,17563.00,17327.00,17347.00,000,0
^BVSP,D,20000901,000000,17360.00,17577.00,17360.00,17577.00,000,0
^BVSP,D,20000904,000000,17577.00,17716.00,17569.00,17613.00,000,0
^BVSP,D,20000905,000000,17614.00,17639.00,17417.00,17425.00,000,0
^BVSP,D,20000906,000000,17442.00,17648.00,17442.00,17590.00,000,0
^BVSP,D,20000908,000000,17594.00,17692.00,17428.00,17433.00,000,0
^BVSP,D,20000911,000000,17443.00,17475.00,17236.00,17288.00,000,0
^BVSP,D,20000912,000000,17285.00,17304.00,16883.00,16883.00,000,0
^BVSP,D,20000913,000000,16888.00,17092.00,16877.00,16999.00,000,0
^BVSP,D,20000914,000000,17032.00,17108.00,16731.00,16769.00,000,0
^BVSP,D,20000915,000000,16771.00,16771.00,16515.00,16563.00,000,0
^BVSP,D,20000918,000000,16562.00,16609.00,15913.00,15913.00,000,0
^BVSP,D,20000919,000000,15923.00,16189.00,15824.00,16188.00,000,0
^BVSP,D,20000920,000000,16196.00,16216.00,15813.00,16078.00,000,0
^BVSP,D,20000921,000000,16065.00,16172.00,15946.00,16146.00,000,0
^BVSP,D,20000922,000000,16093.00,16426.00,15705.00,16353.00,000,0
^BVSP,D,20000925,000000,16361.00,16521.00,16318.00,16319.00,000,0
^BVSP,D,20000926,000000,16319.00,16468.00,16196.00,16255.00,000,0
^BVSP,D,20000927,000000,16289.00,16404.00,15745.00,15848.00,000,0
^BVSP,D,20000928,000000,15849.00,16041.00,15657.00,16014.00,000,0
^BVSP,D,20000929,000000,16020.00,16135.00,15821.00,15928.00,000,0
^BVSP,D,20001002,000000,15950.00,16090.00,15537.00,15559.00,000,0
^BVSP,D,20001003,000000,15562.00,15917.00,15562.00,15633.00,000,0
^BVSP,D,20001004,000000,15653.00,15883.00,15651.00,15876.00,000,0
^BVSP,D,20001005,000000,15876.00,16398.00,15876.00,16362.00,000,0
^BVSP,D,20001006,000000,16370.00,16404.00,15817.00,15946.00,000,0
^BVSP,D,20001009,000000,15946.00,15975.00,15617.00,15855.00,000,0
^BVSP,D,20001010,000000,15846.00,16008.00,15726.00,15747.00,000,0
^BVSP,D,20001011,000000,15738.00,15738.00,15463.00,15526.00,000,0
^BVSP,D,20001013,000000,15441.00,15441.00,15067.00,15385.00,000,0
^BVSP,D,20001016,000000,15387.00,15585.00,15214.00,15242.00,000,0
^BVSP,D,20001017,000000,15267.00,15386.00,14841.00,14870.00,000,0
^BVSP,D,20001018,000000,14837.00,14837.00,14218.00,14421.00,000,0
^BVSP,D,20001019,000000,14490.00,14869.00,14490.00,14845.00,000,0
^BVSP,D,20001020,000000,14846.00,14918.00,14490.00,14529.00,000,0
^BVSP,D,20001023,000000,14533.00,14535.00,13982.00,13990.00,000,0
^BVSP,D,20001024,000000,14014.00,14161.00,13672.00,13799.00,000,0
^BVSP,D,20001025,000000,13796.00,13927.00,13571.00,13665.00,000,0
^BVSP,D,20001026,000000,13705.00,14223.00,13679.00,14223.00,000,0
^BVSP,D,20001027,000000,14251.00,14700.00,14251.00,14692.00,000,0
^BVSP,D,20001030,000000,14707.00,14951.00,14489.00,14891.00,000,0
^BVSP,D,20001031,000000,14916.00,15099.00,14859.00,14867.00,000,0
^BVSP,D,20001101,000000,14858.00,14859.00,14571.00,14791.00,000,0
^BVSP,D,20001103,000000,14785.00,14925.00,14425.00,14534.00,000,0
^BVSP,D,20001106,000000,14534.00,14868.00,14478.00,14801.00,000,0
^BVSP,D,20001107,000000,14780.00,15029.00,14543.00,14969.00,000,0
^BVSP,D,20001108,000000,14982.00,15191.00,14650.00,14656.00,000,0
^BVSP,D,20001109,000000,14667.00,14782.00,14409.00,14524.00,000,0
^BVSP,D,20001110,000000,14542.00,14701.00,14449.00,14626.00,000,0
^BVSP,D,20001113,000000,14606.00,14609.00,14199.00,14372.00,000,0
^BVSP,D,20001114,000000,14395.00,14632.00,14395.00,14540.00,000,0
^BVSP,D,20001116,000000,14546.00,14575.00,14419.00,14490.00,000,0
^BVSP,D,20001117,000000,14479.00,14570.00,14091.00,14323.00,000,0
^BVSP,D,20001120,000000,14323.00,14535.00,14103.00,14500.00,000,0
^BVSP,D,20001121,000000,14497.00,14845.00,14487.00,14784.00,000,0
^BVSP,D,20001122,000000,14766.00,14766.00,14555.00,14577.00,000,0
^BVSP,D,20001123,000000,14579.00,14604.00,14187.00,14314.00,000,0
^BVSP,D,20001124,000000,14316.00,14413.00,12969.00,14336.00,000,0
^BVSP,D,20001127,000000,14340.00,14495.00,13941.00,14008.00,000,0
^BVSP,D,20001128,000000,14011.00,14011.00,13756.00,13914.00,000,0
^BVSP,D,20001129,000000,13921.00,14074.00,13782.00,13788.00,000,0
^BVSP,D,20001130,000000,13779.00,13779.00,13287.00,13287.00,000,0
^BVSP,D,20001201,000000,13303.00,13578.00,13282.00,13437.00,000,0
^BVSP,D,20001204,000000,13396.00,13538.00,13242.00,13510.00,000,0
^BVSP,D,20001205,000000,13513.00,14188.00,13513.00,14182.00,000,0
^BVSP,D,20001206,000000,14180.00,14277.00,13945.00,13945.00,000,0
^BVSP,D,20001207,000000,13947.00,14460.00,13918.00,14460.00,000,0
^BVSP,D,20001208,000000,14462.00,15062.00,14461.00,14983.00,000,0
^BVSP,D,20001211,000000,14991.00,15355.00,14991.00,15188.00,000,0
^BVSP,D,20001212,000000,15186.00,15186.00,14869.00,14906.00,000,0
^BVSP,D,20001213,000000,14916.00,15389.00,14900.00,15291.00,000,0
^BVSP,D,20001214,000000,15261.00,15329.00,15080.00,15259.00,000,0
^BVSP,D,20001215,000000,15253.00,15253.00,14833.00,14988.00,000,0
^BVSP,D,20001218,000000,15002.00,15282.00,14093.00,15083.00,000,0
^BVSP,D,20001219,000000,15085.00,15415.00,15085.00,15336.00,000,0
^BVSP,D,20001220,000000,15306.00,15328.00,14618.00,14622.00,000,0
^BVSP,D,20001221,000000,14727.00,14958.00,14461.00,14505.00,000,0
^BVSP,D,20001222,000000,14533.00,14802.00,14532.00,14652.00,000,0
^BVSP,D,20001226,000000,14663.00,14851.00,14659.00,14795.00,000,0
^BVSP,D,20001227,000000,14805.00,15223.00,14805.00,15186.00,000,0
^BVSP,D,20001228,000000,15188.00,15269.00,15132.00,15259.00,000,0
^BVSP,D,20010102,000000,15242.00,15621.00,15174.00,15425.00,000,0
^BVSP,D,20010103,000000,15425.00,16599.00,15251.00,16599.00,000,0
^BVSP,D,20010104,000000,16597.00,16933.00,16587.00,16675.00,000,0
^BVSP,D,20010105,000000,16679.00,16888.00,16380.00,16410.00,000,0
^BVSP,D,20010108,000000,16398.00,16623.00,16226.00,16562.00,000,0
^BVSP,D,20010109,000000,16566.00,17096.00,16566.00,16976.00,000,0
^BVSP,D,20010110,000000,16964.00,17093.00,16701.00,16919.00,000,0
^BVSP,D,20010111,000000,16908.00,17045.00,16797.00,17024.00,000,0
^BVSP,D,20010112,000000,17034.00,17212.00,16821.00,16850.00,000,0
^BVSP,D,20010115,000000,16858.00,17038.00,16858.00,16963.00,000,0
^BVSP,D,20010116,000000,16973.00,17035.00,16662.00,16721.00,000,0
^BVSP,D,20010117,000000,16748.00,17255.00,16745.00,17191.00,000,0
^BVSP,D,20010118,000000,17204.00,17642.00,17151.00,17521.00,000,0
^BVSP,D,20010119,000000,17525.00,17816.00,17512.00,17530.00,000,0
^BVSP,D,20010122,000000,17548.00,17578.00,17297.00,17392.00,000,0
^BVSP,D,20010123,000000,17381.00,17864.00,17376.00,17832.00,000,0
^BVSP,D,20010124,000000,17849.00,18022.00,17698.00,17772.00,000,0
^BVSP,D,20010126,000000,17776.00,17933.00,17591.00,17889.00,000,0
^BVSP,D,20010129,000000,17906.00,18023.00,17704.00,17883.00,000,0
^BVSP,D,20010130,000000,17882.00,17898.00,17668.00,17723.00,000,0
^BVSP,D,20010131,000000,17725.00,17921.00,17637.00,17673.00,000,0
^BVSP,D,20010201,000000,17670.00,17673.00,16977.00,17039.00,000,0
^BVSP,D,20010202,000000,17027.00,17206.00,16781.00,16915.00,000,0
^BVSP,D,20010205,000000,16914.00,16941.00,16539.00,16731.00,000,0
^BVSP,D,20010206,000000,16734.00,17017.00,16734.00,17007.00,000,0
^BVSP,D,20010207,000000,17003.00,17003.00,16630.00,16812.00,000,0
^BVSP,D,20010208,000000,16814.00,17279.00,16814.00,17243.00,000,0
^BVSP,D,20010209,000000,17257.00,17270.00,17050.00,17138.00,000,0
^BVSP,D,20010212,000000,17163.00,17234.00,16883.00,16917.00,000,0
^BVSP,D,20010213,000000,16922.00,17174.00,16883.00,17096.00,000,0
^BVSP,D,20010214,000000,17078.00,17286.00,16890.00,17120.00,000,0
^BVSP,D,20010215,000000,17121.00,17262.00,16922.00,16937.00,000,0
^BVSP,D,20010216,000000,16934.00,16950.00,16100.00,16259.00,000,0
^BVSP,D,20010219,000000,16263.00,16392.00,16023.00,16061.00,000,0
^BVSP,D,20010220,000000,16066.00,16242.00,15783.00,15911.00,000,0
^BVSP,D,20010221,000000,15909.00,15909.00,15568.00,15594.00,000,0
^BVSP,D,20010222,000000,15604.00,15914.00,15558.00,15910.00,000,0
^BVSP,D,20010223,000000,15920.00,16223.00,15831.00,16158.00,000,0
^BVSP,D,20010228,000000,16158.00,16274.00,15891.00,15891.00,000,0
^BVSP,D,20010301,000000,15891.00,16439.00,15875.00,16417.00,000,0
^BVSP,D,20010302,000000,16423.00,16723.00,16233.00,16581.00,000,0
^BVSP,D,20010305,000000,16620.00,16737.00,16471.00,16537.00,000,0
^BVSP,D,20010306,000000,16573.00,16813.00,16279.00,16324.00,000,0
^BVSP,D,20010307,000000,16329.00,16430.00,16223.00,16395.00,000,0
^BVSP,D,20010308,000000,16401.00,16531.00,16096.00,16227.00,000,0
^BVSP,D,20010309,000000,16233.00,16248.00,16018.00,16123.00,000,0
^BVSP,D,20010312,000000,16125.00,16143.00,15523.00,15527.00,000,0
^BVSP,D,20010313,000000,15536.00,15768.00,15444.00,15584.00,000,0
^BVSP,D,20010314,000000,15583.00,15583.00,15070.00,15245.00,000,0
^BVSP,D,20010315,000000,15252.00,15482.00,14977.00,15061.00,000,0
^BVSP,D,20010316,000000,15076.00,15356.00,15047.00,15237.00,000,0
^BVSP,D,20010319,000000,15249.00,15378.00,14802.00,14836.00,000,0
^BVSP,D,20010320,000000,14854.00,16429.00,14854.00,14903.00,000,0
^BVSP,D,20010321,000000,14914.00,15198.00,14755.00,14853.00,000,0
^BVSP,D,20010322,000000,14847.00,14847.00,13761.00,14067.00,000,0
^BVSP,D,20010323,000000,14070.00,14435.00,13855.00,14435.00,000,0
^BVSP,D,20010326,000000,14443.00,14912.00,14443.00,14712.00,000,0
^BVSP,D,20010327,000000,14733.00,14951.00,14594.00,14835.00,000,0
^BVSP,D,20010328,000000,14846.00,14852.00,14574.00,14632.00,000,0
^BVSP,D,20010329,000000,14647.00,14713.00,14226.00,14282.00,000,0
^BVSP,D,20010330,000000,14292.00,14438.00,13922.00,14438.00,000,0
^BVSP,D,20010402,000000,14441.00,14482.00,13981.00,13981.00,000,0
^BVSP,D,20010403,000000,13988.00,14001.00,13664.00,13737.00,000,0
^BVSP,D,20010404,000000,13740.00,14135.00,13740.00,13855.00,000,0
^BVSP,D,20010405,000000,13865.00,14482.00,13865.00,14443.00,000,0
